aqi_range_inf,aqi_range_sup,concentration_inf,concentration_sup,polluant,
0,50,0,12,pm2_5,
51,100,12.1,35.4,pm2_5,
101,150,35.5,55.4,pm2_5,
151,200,55.5,150.4,pm2_5,
201,300,150.5,250.4,pm2_5,
301,500,250.5,500,pm2_5,
0,50,0,54,pm10,
51,100,55,154,pm10,
101,150,155,254,pm10,
151,200,255,354,pm10,
201,300,355,424,pm10,
301,500,425,604,pm10,
0,50,0,35,so2,
51,100,36,75,so2,
101,150,76,185,so2,
151,200,186,304,so2,
201,300,305,604,so2,
301,500,605,1004,so2,
0,50,53,53,no2,
51,100,54,100,no2,
101,150,101,360,no2,
151,200,361,649,no2,
201,300,650,1249,no2,
301,500,1250,2049,no2,
0,50,0,4.4,co,
51,100,4.5,9.4,co,
101,150,9.5,12.4,co,
151,200,12.5,15.4,co,
201,300,15.5,30.4,co,
301,500,30.5,50.4,co,
0,50,0,54,O3,
51,100,55,70,O3,
101,150,71,85,O3,
151,200,86,105,O3,
201,300,106,200,O3,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
